LabelOfGeographic
SearchKey,EN,JP
U_5,Access,アクセス
U_6,Accord,調和
U_7,Account,アカウント
U_8,Accounting,会計
U_9,Accuse,非難する
U_10,Achieve,達成する
U_11,Acid,酸
U_12,Act,行為
U_13,Action,アクション
U_14,Activation,アクティベーション
U_15,Active,アクティブ
U_16,Activity,活動
U_17,Actor,俳優
U_18,Actual,実際
U_19,Addition,追加
U_20,Administration,管理
U_21,Adopt,採用
U_22,Adult,アダルト
U_23,Advance,前進
U_24,Advantage,利点
U_25,Advice,アドバイス
U_26,Affair,出来事
U_27,Afternoon,午後
U_28,Again,再び
U_29,Age,年齢
U_30,Agency,代理店
U_31,Agent,代理人
U_32,Agree,同意する
U_33,Agreement,合意
U_34,Ah,ああ!
U_35,Ahead,前もって
U_36,Aid,援助
U_37,Air,空気
U_38,Airport,空港
U_39,Alcohol,アルコール
U_40,Alignment,アラインメント
U_41,All,すべて
U_42,Almost,ほとんど
U_43,Alone,唯一の
U_44,Already,すでに
U_45,Alternative,代替案
U_46,Always,常に
U_47,Amino,アミノ基
U_48,An,ひとつの
U_49,Analysis,解析
U_50,Analyst,アナリスト
U_51,Analyze,分析する
U_52,Andrew,アンドルー
U_53,Angel,天使
U_54,Animal,動物
U_55,Announce,アナウンス
U_56,Annual,年次の
U_57,Another,別の
U_58,Antibody,抗体
U_59,Any,いくつかの
U_60,Anybody,誰でも
U_61,Anymore,もはや
U_62,Anyway,とにかく
U_63,Apartment,アパート
U_64,Apparently,明らかに
U_65,Appeal,アピール
U_66,Appear,現れる
U_67,Apply,申し込む
U_68,Approach,アプローチ
U_69,Appropriate,適切な
U_70,Approve,承認する
U_71,Approximately,約
U_72,April,4月
U_73,Argue,主張する
U_74,Arm,腕
U_75,Army,軍
U_76,Around,周りに
U_77,Array,アレイ
U_78,Arrest,逮捕
U_79,Arrive,到着する
U_80,Art,アート
U_81,Article,記事
U_82,Artist,アーティスト
U_83,Ask,頼む
U_84,Aspect,アスペクト
U_85,Assay,検定
U_86,Assess,評価する
U_87,Assessment,評価
U_88,Assistance,支援
U_89,Associate,仲間
U_90,Association,組合
U_91,Assume,引き受ける
U_92,Assumption,仮定
U_93,Atlanta,アトランタ
U_94,Attack,攻撃
U_95,Attempt,試み
U_96,Attend,出席する
U_97,Attention,注目
U_98,Attorney,弁護士
U_99,Audience,聴衆
U_100,Audit,監査
U_101,August,8月
U_102,Author,著者
U_103,Authority,権限
U_104,Available,利用できる
U_105,Average,平均
U_106,Avoid,避ける
U_107,Award,賞
U_108,Away,離れて
U_109,Baby,赤ちゃん
U_110,Back,バック
U_111,Background,背景
U_112,Bacteria,細菌
U_113,Bad,悪い
U_114,Bag,バッグ
U_115,Balance,バランス
U_116,Ball,ボール
U_117,Band,バンド
U_118,Bank,銀行
U_119,Bar,禁止する
U_120,Base,ベース
U_121,Baseball,野球
U_122,Basic,基礎的な
U_123,Basically,基本的には
U_124,Basis,基礎
U_125,Bay,ベイ
U_126,Bear,クマ
U_127,Beat,ビート
U_128,Beautiful,美しい
U_129,Because,なぜなら
U_130,Bed,ベッド
U_131,Begin,ベギン
U_132,Beginning,開始
U_133,Behavior,行動
U_134,Behind,後ろ
U_135,Believe,信じる
U_136,Benefit,利益
U_137,Beside,すぐ側に
U_138,Best,ベスト
U_139,Bet,ベット
U_140,Better,良い
U_141,Beyond,超えて
U_142,Bias,バイアス
U_143,Biggest,最大
U_144,Bill,法案
U_145,Bin,ビン
U_146,Bind,バインド
U_147,Binding,バインディング
U_148,Biological,生物学的な
U_149,Bird,鳥
U_150,Birth,誕生
U_151,Birthday,誕生日
U_152,Bit,ビット
U_153,Black,黒
U_154,Blame,非難
U_155,Block,ブロック
U_156,Blood,血
U_157,Blow,打撃
U_158,Blue,青
U_159,Board,ボード
U_160,Boat,ボート
U_161,Bob,ボブ
U_162,Body,体
U_163,Bomb,爆弾
U_164,Bond,債券
U_165,Bone,骨
U_166,Book,ブック
U_167,Border,ボーダー
U_168,Boss,ボス
U_169,Boston,ボストン
U_170,Both,両方
U_171,Bother,面倒
U_172,Bottom,ボトム
U_173,Box,ボックス
U_174,Boy,男の子
U_175,Bradley,ブラッドリー
U_176,Brain,脳
U_177,Break,ブレーク
U_178,Breast,胸
U_179,Bridge,ブリッジ
U_180,Brief,短い
U_181,Bring,持って来る
U_182,British,英国の
U_183,Brown,ブラウン
U_184,Budget,予算
U_185,Buffer,バッファ
U_186,Buffy,強そうな女性
U_187,Build,ビルド
U_188,Building,建物
U_189,Burn,燃やす
U_190,Bus,バス
U_191,Bush,ブッシュ
U_192,Business,ビジネス
U_193,Buy,購入
U_194,Cable,ケーブル
U_195,Calculate,計算する
U_196,Call,コー​​ル
U_197,Camp,キャンプ
U_198,Campaign,キャンペーン
U_199,Can,缶
U_200,Candidate,候補者
U_201,Cap,キャップ
U_202,Capital,首都
U_203,Capture,キャプチャー
U_204,Card,カード
U_205,Care,ケア
U_206,Career,キャリア
U_207,Carry,キャリー
U_208,Case,ケース
U_209,Cash,現金
U_210,Cast,キャスト
U_211,Cat,ネコ
U_212,Catch,キャッチ
U_213,Category,カテゴリ
U_214,Cell,セル
U_215,Cellular,細胞の
U_216,Center,センター
U_217,Central,セントラル
U_218,Century,世紀
U_219,Certain,いくらかの
U_220,Certainly,確かに
U_221,Chain,チェーン
U_222,Challenge,挑戦
U_223,Chance,チャンス
U_224,Channel,チャンネル
U_225,Characteristic,特徴
U_226,Characterize,特徴づける
U_227,Charge,充電
U_228,Charles,チャールズ
U_229,Check,チェック
U_230,Chemical,化学物質
U_231,Child,子供
U_232,Chip,チップ
U_233,Choice,選択
U_234,Choose,選ぶ
U_235,Chromosome,染色体
U_236,Cite,引用する
U_237,Citizen,市民
U_238,Civil,市民の
U_239,Claim,主張する
U_240,Class,クラス
U_241,Classic,クラシック
U_242,Clean,クリーン
U_243,Clear,クリア
U_244,Clearly,明らかに
U_245,Click,クリック
U_246,Client,クライアント
U_247,Clinical,臨床の
U_248,Clone,クローン
U_249,Close,閉じる
U_250,Club,クラブ
U_251,Cluster,クラスタ
U_252,Code,暗号
U_253,Coffee,コー​​ヒー
U_254,Cold,冷たい
U_255,Colleague,同僚
U_256,Collect,集める
U_257,Collection,コレクション
U_258,Column,コラム
U_259,Combination,組み合わせ
U_260,Combine,コンバイン
U_261,Come,来る
U_262,Comment,コメント
U_263,Commercial,コマーシャル
U_264,Commission,委員会
U_265,Commit,コミット
U_266,Common,一般
U_267,Communication,通信
U_268,Community,コミュニティ
U_269,Company,会社
U_270,Compare,比較する
U_271,Comparison,比較
U_272,Compete,競争する
U_273,Competition,競争
U_274,Complain,文句を言う
U_275,Complete,完全な
U_276,Completely,完全に
U_277,Complex,複雑な
U_278,Component,コンポーネント
U_279,Computer,コンピューター
U_280,Concentration,濃度
U_281,Concept,概念
U_282,Concern,懸念
U_283,Conclude,結論を下す
U_284,Conclusion,結論
U_285,Conduct,行動
U_286,Conference,会議
U_287,Confidence,自信
U_288,Confirm,確認する
U_289,Conflict,紛争
U_290,Congress,議会
U_291,Congressional,議会の
U_292,Connection,接続
U_293,Connor,コナー
U_294,Consequence,結果
U_295,Conservative,保守的な
U_296,Conserved,保存されている
U_297,Consider,考える
U_298,Consistent,一貫性のある
U_299,Constant,定数
U_300,Constitution,憲法
U_301,Construct,構築する
U_302,Construction,建設
U_303,Consumer,消費者
U_304,Contact,コンタクト
U_305,Content,コンテンツ
U_306,Context,コンテキスト
U_307,Continue,続ける
U_308,Contract,契約
U_309,Contrast,コントラスト
U_310,Contribute,貢献する
U_311,Contribution,投稿
U_312,Control,コントロール
U_313,Conversation,会話
U_314,Cook,コック
U_315,Cool,クール
U_316,Copy,コピー
U_317,Core,コア
U_318,Corner,コー​​ナー
U_319,Corporate,企業の
U_320,Corporation,法人
U_321,Correct,正しい
U_322,Correlation,相関
U_323,Cost,コスト
U_324,Could,可能性
U_325,Council,協議会
U_326,Count,カウント
U_327,Couple,カップル
U_328,Course,コー​​ス
U_329,Court,裁判所
U_330,Cover,カバー
U_331,Coverage,報道
U_332,Cox,コックス
U_333,Crash,クラッシュ
U_334,Crazy,クレイジー
U_335,Credit,クレジット
U_336,Crime,犯罪
U_337,Criminal,犯罪者
U_338,Crisis,危機
U_339,Criterion,基準
U_340,Critic,評論家
U_341,Critical,クリティカル
U_342,Cross,クロス
U_343,Crowd,群衆
U_344,Cry,叫び
U_345,Cultural,文化的
U_346,Culture,文化
U_347,Cup,カップ
U_348,Current,電流
U_349,Currently,現在
U_350,Customer,顧客
U_351,Cut,カット
U_352,Cycle,サイクル
U_353,Dad,お父さん
U_354,Daily,日々
U_355,Dallas,ダラス
U_356,Damage,ダメージ
U_357,Damn,くそー
U_358,Dance,ダンス
U_359,Dark,暗い
U_360,Data,データ
U_361,Database,データベース
U_362,Date,日付
U_363,Daughter,娘
U_364,Dawn,夜明け
U_365,Dead,死んだ
U_366,Deal,取引
U_367,Dear,かわいい
U_368,Death,死
U_369,Debate,ディベート
U_370,Debt,借金
U_371,Decade,10年
U_372,Decide,決める
U_373,Decision,決定
U_374,Declare,宣言する
U_375,Decline,下落
U_376,Decrease,減少
U_377,Deep,ディープ
U_378,Defend,守る
U_379,Defense,防衛
U_380,Define,定義する
U_381,Definitely,間違いなく
U_382,Definition,定義
U_383,Delay,遅延
U_384,Deliver,配達する
U_385,Delivery,配達
U_386,Demand,需要
U_387,Democrat,民主党
U_388,Democratic,民主的な
U_389,Demonstrate,実証する
U_390,Density,密度
U_391,Deny,否定する
U_392,Department,部門
U_393,Depend,左右される
U_394,Dependent,依存
U_395,Derive,引き出す
U_396,Describe,説明する
U_397,Description,説明
U_398,Design,設計
U_399,Desire,欲求
U_400,Despite,にもかかわらず
U_401,Destroy,破壊する
U_402,Detail,詳細
U_403,Detect,検出
U_404,Determine,決定する
U_405,Develop,開発する
U_406,Development,開発
U_407,Dictionary,辞書
U_408,Die,死ぬ
U_409,Diet,ダイエット
U_410,Differ,異なる
U_411,Difference,違い
U_412,Different,異なる
U_413,Difficult,難しい
U_414,Dinner,夕食
U_415,Direct,ダイレクト
U_416,Direction,方向
U_417,Directly,直接に
U_418,Director,ディレクター
U_419,Discover,発見
U_420,Discuss,議論する
U_421,Discussion,ディスカッション
U_422,Disease,病気
U_423,Display,ディスプレイ
U_424,Distance,距離
U_425,Distribution,配布
U_426,Divide,分割
U_427,Dna,DNA
U_428,Do,行う
U_429,Doctor,医師
U_430,Document,ドキュメント
U_431,Dog,犬
U_432,Dollar,ドル
U_433,Domain,ドメイン
U_434,Don,ドン
U_435,Door,ドア
U_436,Doubles,ダブルス
U_437,Doubt,疑い
U_438,Down,ダウン
U_439,Dozen,ダース
U_440,Draft,ドラフト
U_441,Draw,ドロー
U_442,Dream,夢
U_443,Dress,ドレス
U_444,Drink,ドリンク
U_445,Drive,ドライブ
U_446,Driver,運転手
U_447,Drop,ドロップ
U_448,Drug,薬
U_449,Dry,ドライ
U_450,Due,原因
U_451,Early,早い
U_452,Earn,獲得する
U_453,Earth,地球
U_454,Easier,より簡単に
U_455,Easily,簡単に
U_456,Easy,簡単に
U_457,Eat,食べる
U_458,Economic,経済の
U_459,Edge,エッジ
U_460,Editor,編集者
U_461,Editorial,社説
U_462,Education,教育
U_463,Effect,効果
U_464,Effective,効果的な
U_465,Effort,努力
U_466,Element,元素
U_467,Eliminate,取り除く
U_468,Emerge,出てくる
U_469,Emergency,緊急
U_470,Emission,発光
U_471,Encourage,促す
U_472,End,終わり
U_473,Energy,エネルギー
U_474,Engage,従事する
U_475,Enjoy,楽しむ
U_476,Enough,十分な
U_477,Ensure,確保
U_478,Enter,入力する
U_479,Entertainment,エンターテインメント
U_480,Entire,全体
U_481,Entirely,完全に
U_482,Entity,エンティティ
U_483,Entry,エントリー
U_484,Environment,環境
U_485,Environmental,環境の
U_486,Enzyme,酵素
U_487,Episode,エピソード
U_488,Equipment,機器
U_489,Especially,特に
U_490,Essential,不可欠
U_491,Establish,確立する
U_492,Evaluate,評価する
U_493,Evaluation,評価
U_494,Even,さらに
U_495,Evening,夜
U_496,Event,イベント
U_497,Eventually,結局のところ
U_498,Ever,今までに
U_499,Every,あらゆる
U_500,Everybody,皆
U_501,Everything,すべてのもの
U_502,Evidence,証拠
U_503,Evil,悪
U_504,Exactly,正確に
U_505,Examine,調べる
U_506,Excellent,優れた
U_507,Except,除く
U_508,Exchange,交換
U_509,Executive,エグゼクティブ
U_510,Exercise,エクササイズ
U_511,Exhibit,展示
U_512,Exist,存在する
U_513,Exon,エクソン
U_514,Expand,拡大する
U_515,Expect,期待する
U_516,Expense,費用
U_517,Expensive,高価な
U_518,Experience,経験
U_519,Experiment,実験
U_520,Experimental,実験的
U_521,Expert,エキスパート
U_522,Explain,説明する
U_523,Explanation,説明
U_524,Expose,暴露する
U_525,Exposure,暴露
U_526,Express,表現する
U_527,Expression,式
U_528,Extend,広がる
U_529,Extent,程度
U_530,Extra,余分
U_531,Extract,エキス
U_532,Eye,目
U_533,Face,顔
U_534,Facility,施設
U_535,Fact,事実
U_536,Factor,要因
U_537,Fail,失敗する
U_538,Failure,失敗
U_539,Fair,フェア
U_540,Fairly,かなり
U_541,Faith,信仰
U_542,Fall,秋
U_543,Familiar,おなじみの
U_544,Family,家族
U_545,Famous,有名な
U_546,Fan,ファン
U_547,Far,遠く
U_548,Fashion,ファッション
U_549,Fast,速い
U_550,Father,お父さん
U_551,Favor,好意
U_552,Favorite,お気に入り
U_553,Fear,恐怖
U_554,Feature,特徴
U_555,Federal,連邦政府の
U_556,Fee,料金
U_557,Feel,感じる
U_558,Feeling,気持ち
U_559,Female,女性
U_560,Few,少ない
U_561,Field,フィールド
U_562,Fig,イチジク
U_563,Fight,戦い
U_564,Figure,図
U_565,File,ファイル
U_566,Fill,フィル
U_567,Film,フィルム
U_568,Filter,フィルタ
U_569,Final,最後の
U_570,Finally,最終的に
U_571,Finance,ファイナンス
U_572,Financial,金融の
U_573,Find,見つける
U_574,Finding,認定
U_575,Fine,罰金
U_576,Finish,フィニッシュ
U_577,Fire,火災
U_578,Firm,事務所
U_579,First,最初
U_580,Fish,魚
U_581,Fit,フィット
U_582,Fix,修正する
U_583,Flight,フライト
U_584,Floor,フロア
U_585,Flow,流れ
U_586,Flower,花
U_587,Fly,ハエ
U_588,Focus,フォーカス
U_589,Fold,折り畳む
U_590,Follow,フォロー
U_591,Food,食品
U_592,Foot,足
U_593,Football,サッカー
U_594,Force,力
U_595,Foreign,外国の
U_596,Forget,忘れる
U_597,Form,フォーム
U_598,Formation,形成
U_599,Former,前者
U_600,Forward,フォワード
U_601,Foundation,ファンデーション
U_602,Fourth,第4
U_603,Fraction,分数
U_604,Fragment,断片
U_605,Frame,フレーム
U_606,Fred,フレッド
U_607,Free,フリー
U_608,Frequency,周波数
U_609,Fresh,新鮮な
U_610,Friday,金曜日
U_611,Friend,友人
U_612,Front,フロント
U_613,Full,フル
U_614,Fully,完全に
U_615,Fun,楽しい
U_616,Function,関数
U_617,Functional,機能的な
U_618,Fund,ファンド
U_619,Funding,資金調達
U_620,Funny,おかしい
U_621,Further,さらに
U_622,Future,未来
U_623,Gain,ゲイン
U_624,Game,ゲーム
U_625,Garden,ガーデン
U_626,Gas,ガス
U_627,Gate,ゲート
U_628,Gene,遺伝子
U_629,General,一般的な
U_630,Generally,一般に
U_631,Generate,生成する
U_632,Generation,世代
U_633,Genetic,遺伝子の
U_634,Genome,ゲノム
U_635,Genomic,ゲノムの
U_636,George,ジョージ
U_637,Giant,巨人
U_638,Gift,贈り物
U_639,Girl,少女
U_640,Give,与える
U_641,Glad,嬉しい
U_642,Glass,ガラス
U_643,Global,グローバル
U_644,Globe,グローブ
U_645,Go,行く
U_646,Goal,ゴール
U_647,God,神
U_648,Gold,ゴールド
U_649,Golf,ゴルフ
U_650,Gore,ゴア
U_651,Government,政府
U_652,Governor,知事
U_653,Grade,グレード
U_654,Graduate,卒業
U_655,Grand,壮大な
U_656,Grant,付与
U_657,Great,素晴らしい
U_658,Greater,大きい
U_659,Greatest,最大
U_660,Green,緑色
U_661,Ground,グラウンド
U_662,Group,グループ
U_663,Grow,成長する
U_664,Growth,成長
U_665,Guard,ガード
U_666,Guess,推測
U_667,Guide,ガイド
U_668,Hair,髪
U_669,Half,半分
U_670,Hall,ホール
U_671,Hand,手
U_672,Handle,ハンドル
U_673,Hang,ハング
U_674,Happen,起こる
U_675,Happy,幸せな
U_676,Hard,ハード
U_677,Hate,嫌い
U_678,Have,持っている
U_679,Head,頭
U_680,Headline,見出し
U_681,Health,健康
U_682,Hear,聞く
U_683,Hearing,公聴会
U_684,Heart,心臓
U_685,Heavy,重い
U_686,Hell,地獄
U_687,Help,助けて
U_688,Herself,彼女自身
U_689,Hey,ちょっと
U_690,Hide,隠す
U_691,High,高い
U_692,Higher,より高い
U_693,Highest,最高
U_694,Highly,高度に
U_695,Himself,彼自身
U_696,Hire,雇う
U_697,History,歴史
U_698,Hit,ヒット
U_699,Hm,うーん
U_700,Hold,ホールド
U_701,Hole,ホール
U_702,Holiday,休日
U_703,Hollywood,ハリウッド
U_704,Home,ホーム
U_705,Hop,ホップ
U_706,Hope,希望
U_707,Hospital,病院
U_708,Host,ホスト
U_709,Hot,熱い
U_710,Hotel,ホテル
U_711,Hour,時間
U_712,House,家
U_713,Household,世帯
U_714,How,どうやって
U_715,However,しかしながら
U_716,Http,HTTP
U_717,Huge,巨大
U_718,Huh,ハァッ
U_719,Human,人間
U_720,Hundred,百
U_721,Hurt,傷つける
U_722,Husband,夫
U_723,Hybridization,交配
U_724,Hypothesis,仮説
U_725,Ice,アイス
U_726,Idea,アイデア
U_727,Identify,識別する
U_728,Identity,アイデンティティ
U_729,If,場合
U_730,Ignore,無視する
U_731,Image,画像
U_732,Imagine,想像する
U_733,Immediately,すぐに
U_734,Impact,インパクト
U_735,Implement,実装する
U_736,Importance,重要性
U_737,Important,重要
U_738,Improve,改善する
U_739,Improvement,改善
U_740,Include,含む
U_741,Income,収入
U_742,Increase,増加する
U_743,Indeed,確かに
U_744,Independent,独立した
U_745,Index,インデックス
U_746,Indicate,示す
U_747,Individual,個人
U_748,Induce,誘導する
U_749,Industry,産業
U_750,Infection,感染
U_751,Influence,影響
U_752,Information,情報
U_753,Initial,初期
U_754,Input,入力
U_755,Inside,内部
U_756,Instance,インスタンス
U_757,Instead,代わりに
U_758,Institute,協会
U_759,Institution,機関
U_760,Insurance,保険
U_761,Intelligence,インテリジェンス
U_762,Intend,意図する
U_763,Intensity,強度
U_764,Interaction,インタラクション
U_765,Interest,関心
U_766,Interested,興味を持った
U_767,Interesting,面白い
U_768,Internal,内部
U_769,International,国際的な
U_770,Internet,インターネット
U_771,Intervention,介入
U_772,Interview,インタビュー
U_773,Introduce,紹介する
U_774,Investigate,調べる
U_775,Investigation,調査
U_776,Investigator,捜査官
U_777,Investment,投資
U_778,Investor,投資家
U_779,Involve,巻き込む
U_780,Island,島
U_781,Isolate,隔離する
U_782,Issue,問題
U_783,Item,アイテム
U_784,James,ジェームズ
U_785,January,1月
U_786,Join,参加する
U_787,Joint,ジョイント
U_788,Joke,冗談で
U_789,Jones,ジョーンズ
U_790,Journal,ジャーナル
U_791,Judge,裁判官
U_792,July,7月
U_793,Jump,ジャンプ
U_794,June,6月
U_795,Jury,陪審
U_796,Just,ちょうど
U_797,Justice,正義
U_798,Keep,保つ
U_799,Kennedy,ケネディ
U_800,Key,キー
U_801,Kick,キック
U_802,Kid,子ども
U_803,Kinase,キナーゼ
U_804,Kind,種類
U_805,King,キング
U_806,Km,キロ
U_807,Know,知っている
U_808,Knowledge,知識
U_809,Label,ラベル
U_810,Labor,労働
U_811,Laboratory,実験室
U_812,Lack,不足
U_813,Lady,女性
U_814,Language,言語
U_815,Last,最後の
U_816,Late,遅い
U_817,Later,後で
U_818,Latest,最新
U_819,Laugh,笑い
U_820,Law,法律
U_821,Lawyer,弁護士
U_822,Lead,鉛
U_823,Leader,リーダー
U_824,League,リーグ
U_825,Learn,学ぶ
U_826,Least,最低
U_827,Leave,残す
U_828,Lee,リー
U_829,Left,左
U_830,Legal,法的
U_831,Length,長さ
U_832,Less,もっと少なく
U_833,Letter,手紙
U_834,Level,レベル
U_835,Lewinsky,ルインスキー
U_836,Liberal,リベラル
U_837,Library,ライブラリ
U_838,Lie,うそ
U_839,Life,生活
U_840,Light,光
U_841,Likely,恐らく
U_842,Limit,リミット
U_843,Limited,限られた
U_844,Line,ライン
U_845,Link,リンク
U_846,List,リスト
U_847,Listen,聴く
U_848,Literature,文学
U_849,Little,少し
U_850,Live,生きる
U_851,Loan,ローン
U_852,Local,地元
U_853,Locate,見つける
U_854,Location,場所
U_855,London,ロンドン
U_856,Long,長い
U_857,Longer,より長い
U_858,Look,見る
U_859,Los,ロサンゼルス
U_860,Lose,失う
U_861,Loss,損失
U_862,Lot,ロット
U_863,Love,愛
U_864,Low,低い
U_865,Lower,下側
U_866,Lunch,ランチ
U_867,Lung,肺
U_868,Machine,マシン
U_869,Magazine,マガジン
U_870,Mail,電子メール
U_871,Main,メイン
U_872,Maintain,維持する
U_873,Major,メジャー
U_874,Majority,過半数
U_875,Make,作る
U_876,Male,男性
U_877,Manage,管理する
U_878,Management,管理
U_879,Manager,マネージャー
U_880,Manufacturer,メーカー
U_881,Many,多くの
U_882,Map,マップ
U_883,March,3月
U_884,Mark,マーク
U_885,Marker,マーカー
U_886,Market,市場
U_887,Marriage,結婚
U_888,Marry,結婚する
U_889,Mary,メアリー
U_890,Mass,質量
U_891,Master,マスター
U_892,Match,マッチ
U_893,Material,素材
U_894,Matter,問題
U_895,May,5月
U_896,Maybe,多分
U_897,Me,私に
U_898,Mean,平均
U_899,Means,手段
U_900,Measure,測定
U_901,Measurement,測定
U_902,Mechanism,機構
U_903,Media,メディア
U_904,Medical,メディカル
U_905,Medicine,医学
U_906,Medium,メディア
U_907,Meet,会う
U_908,Meeting,ミーティング
U_909,Member,メンバー
U_910,Membrane,膜
U_911,Memory,メモリ
U_912,Mention,言及
U_913,Message,メッセージ
U_914,Method,メソッド
U_915,Mg,ミリグラム
U_916,Michael,マイケル
U_917,Microarray,マイクロアレイ
U_918,Middle,ミドル
U_919,Might,可能性がある
U_920,Mile,マイル
U_921,Military,ミリタリー
U_922,Million,100万
U_923,Mind,心
U_924,Mine,鉱山
U_925,Minister,大臣
U_926,Minute,分
U_927,Miss,ミス
U_928,Mission,ミッション
U_929,Mistake,ミス
U_930,Mix,ミックス
U_931,Ml,ミリリットル
U_932,Model,モデル
U_933,Modern,モダン
U_934,Molecular,分子の
U_935,Molecule,分子
U_936,Mom,ママ
U_937,Moment,瞬間
U_938,Monday,月曜日
U_939,Money,お金
U_940,Monitor,モニター
U_941,More,もっと
U_942,Morning,朝
U_943,Mostly,ほとんど
U_944,Mother,母
U_945,Mouse,マウス
U_946,Move,移動
U_947,Movie,ムービー
U_948,Mr,Mr
U_949,Mrna,mRNA
U_950,Much,ずっと
U_951,Multiple,複数
U_952,Murder,殺人
U_953,Muscle,筋
U_954,Museum,博物館
U_955,Music,音楽
U_956,Must,しなければならない
U_957,Mutant,変異体
U_958,Mutation,突然変異
U_959,Native,ネイティブ
U_960,Natural,ナチュラル
U_961,Nature,自然
U_962,Near,近く
U_963,Nearly,ほぼ
U_964,Necessarily,必ず
U_965,Need,必要
U_966,Neighbor,隣人
U_967,Neighborhood,ご近所
U_968,Net,ネット
U_969,Network,ネットワーク
U_970,Never,決して
U_971,New,新しい
U_972,News,ニュース
U_973,Newspaper,新聞
U_974,Nice,素晴らしい
U_975,Night,夜
U_976,No,いいえ
U_977,Nobody,誰も
U_978,Normal,通常の
U_979,North,北
U_980,Northern,北方
U_981,Note,注意
U_982,Notice,お知らせ
U_983,Novel,小説
U_984,Nuclear,核の
U_985,Nucleotide,ヌクレオチド
U_986,Object,オブジェクト
U_987,Objective,目的
U_988,Observation,観測
U_989,Observe,観察する
U_990,Obtain,入手する
U_991,Obvious,明らかな
U_992,Obviously,明らかに
U_993,Occur,発生する
U_994,Off,オフ
U_995,Offer,オファー
U_996,Office,オフィス
U_997,Official,公式
U_998,Often,多くの場合
U_999,Oil,オイル
U_1000,Old,古い
U_1001,Older,年上の
U_1002,Once,一度
U_1003,Online,オンライン
U_1004,Onto,上へ
U_1005,Open,オープン
U_1006,Operation,操作
U_1007,Opinion,意見
U_1008,Opportunity,チャンス
U_1009,Oppose,反対する
U_1010,Option,オプション
U_1011,Order,オーダー
U_1012,Organism,生体
U_1013,Organization,組織
U_1014,Organize,整理する
U_1015,Origin,原点
U_1016,Original,元の
U_1017,Originally,もともと
U_1018,Our,私たちの
U_1019,Outcome,結果
U_1020,Package,パッケージ
U_1021,Page,ページ
U_1022,Pain,痛み
U_1023,Paint,ペイント
U_1024,Painting,ペインティング
U_1025,Pair,ペア
